"crimeTypes...1.","anti_social_behaviour","bicycle_theft","possession_of_weapons","vehicle_crime","somModel.unit.classif"
"Brent 005C",25,0,1,8,285
"Brent 005D",38,1,0,24,319
"Brent 005E",14,0,1,18,185
"Brent 006A",24,1,0,7,329
"Brent 006B",32,0,0,3,307
"Brent 006C",20,0,1,6,285
"Brent 006D",37,0,1,7,267
"Brent 006E",60,2,2,7,181
"Brent 007A",9,0,0,6,366
"Brent 007B",17,0,0,6,347
"Brent 007C",10,0,0,3,384
"Brent 007D",54,2,1,6,248
"Brent 007E",130,0,0,27,90
"Brent 008A",20,0,0,10,351
"Brent 008B",20,0,0,12,352
"Brent 008C",11,0,0,7,367
"Brent 008D",81,15,0,8,114
"Brent 008E",14,1,0,4,345
"Brent 009A",14,1,1,12,244
"Brent 009B",15,0,1,14,225
"Brent 009C",124,4,3,46,4
"Brent 009D",41,3,0,15,275
"Brent 009E",57,1,1,18,128
"Brent 010B",12,1,0,13,373
"Brent 010D",57,2,2,18,182
"Brent 010E",26,0,1,8,285
"Brent 010F",49,0,0,29,299
"Brent 011A",93,1,1,35,26
"Brent 011B",60,2,0,26,279
"Brent 011C",42,0,2,13,201
"Brent 011D",66,2,2,19,182
"Brent 011E",45,3,0,25,237
"Brent 012A",33,0,0,9,311
"Brent 012B",26,0,1,10,266
"Brent 012C",29,0,3,19,123
"Brent 012D",36,2,2,10,221
"Brent 013A",39,1,0,10,251
"Brent 013B",9,0,1,9,284
"Brent 013C",48,0,0,6,269
"Brent 013D",107,1,2,15,50
"Brent 013E",37,1,0,3,288
"Brent 014A",60,1,4,17,102
"Brent 014B",14,1,0,25,340
"Brent 014C",61,3,4,36,64
"Brent 014D",17,0,0,12,372
"Brent 014E",193,1,3,32,3
"Brent 014F",61,3,0,17,276
"Brent 015A",148,3,0,33,6
"Brent 015B",32,1,0,17,335
"Brent 015C",55,1,0,29,279
"Brent 015D",62,2,2,19,182
"Brent 015E",6,0,0,12,392
"Brent 015F",38,4,1,17,167
"Brent 016A",23,0,0,10,351
"Brent 016B",15,0,0,7,348
"Brent 016C",36,2,1,22,147
"Brent 016D",26,0,1,10,266
"Brent 017B",122,13,2,26,75
"Brent 017C",13,0,0,15,394
"Brent 017D",23,1,0,8,329
"Brent 017E",21,1,0,10,331
"Brent 017F",74,12,7,18,41
"Brent 017G",116,4,2,24,30
"Brent 018A",59,9,0,13,132
"Brent 018B",34,1,0,9,310
"Brent 018C",164,1,0,15,31
"Brent 018D",52,0,1,51,160
"Brent 018E",43,1,1,15,226
"Brent 019A",83,1,0,7,230
"Brent 019B",25,2,1,4,302
"Brent 019C",39,1,5,7,101
"Brent 019D",23,2,2,6,262
"Brent 019E",38,2,2,6,261
"Brent 020A",65,3,2,14,162
"Brent 020B",53,3,0,16,276
"Brent 020C",20,2,3,14,223
"Brent 020D",376,10,6,11,13
"Brent 020E",82,3,1,10,229
"Brent 021A",51,4,2,27,144
"Brent 021B",71,6,3,61,120
"Brent 021C",52,2,1,12,169
"Brent 021D",63,0,1,6,248
"Brent 021E",27,0,0,10,311
"Brent 021F",36,1,0,20,358
"Brent 022A",24,0,0,18,376
"Brent 022B",24,1,1,13,245
"Brent 022C",24,0,2,17,203
"Brent 022D",98,9,0,23,112
"Brent 022E",42,0,0,10,291
"Brent 023A",45,8,2,25,157
"Brent 023B",27,3,1,14,207
"Brent 023C",39,3,0,14,274
"Brent 023D",58,0,1,36,66
"Brent 023E",46,7,1,34,158
"Brent 024A",39,0,2,21,145
"Brent 024B",281,5,2,18,33
"Brent 024C",123,0,2,18,50
"Brent 024D",101,10,4,32,43
"Brent 025A",115,3,3,24,49
"Brent 025B",114,2,9,28,22
"Brent 025C",23,2,1,16,186
"Brent 025D",94,2,5,23,42
"Brent 025E",86,4,2,26,48
"Brent 025F",36,1,0,18,336
"Brent 026A",27,0,0,4,327
"Brent 026B",27,1,0,2,307
"Brent 026C",46,1,0,10,251
"Brent 026D",53,3,1,41,180
"Brent 026E",86,16,3,14,74
"Brent 027A",68,1,3,25,144
"Brent 027D",102,2,1,16,89
"Brent 027E",196,31,1,73,59
"Brent 027F",46,4,4,37,64
"Brent 028A",125,7,3,24,53
"Brent 028B",26,3,0,20,236
"Brent 028C",31,4,0,20,236
"Brent 028D",209,9,2,14,32
"Brent 028E",22,1,0,11,331
"Brent 029A",57,10,3,23,74
"Brent 029B",90,2,3,6,141
"Brent 029C",62,2,2,13,182
"Brent 029D",57,2,3,18,142
"Brent 029E",124,1,1,8,71
"Brent 030A",37,4,2,19,183
"Brent 030B",70,4,4,27,63
"Brent 030C",12,0,0,15,394
"Brent 030D",30,1,0,16,334
"Brent 030E",17,0,1,23,146
"Brent 031A",56,1,5,23,82
"Brent 031B",280,20,8,46,14
"Brent 031C",41,0,1,22,127
"Brent 031E",125,6,0,40,6
"Brent 031F",31,5,0,36,199
"Brent 031G",69,0,1,7,248
"Brent 031H",166,11,4,37,3
"Brent 032A",40,2,0,12,273
"Brent 032B",143,7,1,62,5
"Brent 032C",37,2,0,41,220
"Brent 032D",71,3,1,39,26
"Brent 032E",81,7,1,47,138
"Brent 033A",25,0,0,20,376
"Brent 033B",31,7,0,16,174
"Brent 033C",49,6,1,21,156
"Brent 033D",22,1,1,18,185
"Brent 033E",14,1,0,12,371
"Brent 033F",33,3,0,25,216
"Brent 034A",25,5,1,18,187
"Brent 034B",65,4,1,27,67
"Brent 034C",53,3,4,8,101
"Brent 034D",52,5,4,11,102
"Brentwood 006D",0,0,0,0,381
"Brentwood 007B",0,0,1,0,341
"Bromley 001A",44,3,0,22,256
"Bromley 001B",62,5,2,18,162
"Bromley 001D",87,1,0,20,110
"Bromley 001E",69,2,0,9,230
"Bromley 001F",42,4,2,3,261
"Bromley 002A",29,0,0,6,309
"Bromley 002B",10,0,0,11,391
"Bromley 002C",31,1,1,13,227
"Bromley 002D",45,0,0,20,317
"Bromley 002E",5,0,0,14,393
"Bromley 004A",98,4,1,21,70
"Bromley 004B",62,2,1,16,150
"Bromley 004C",26,1,0,9,331
"Bromley 004D",14,1,0,21,379
"Bromley 004E",17,1,1,8,284
"Bromley 005A",145,2,4,25,52
"Bromley 005B",31,1,0,13,333
"Bromley 005C",52,3,1,30,66
"Bromley 005D",47,4,0,37,219
"Bromley 005E",39,1,1,13,227
"Bromley 006A",2,14,1,22,134
"Bromley 006B",21,1,0,13,353
"Bromley 006C",18,0,2,20,203
"Bromley 006D",150,5,1,19,10
"Bromley 006E",67,3,4,30,63
"Bromley 007A",19,0,0,11,352
"Bromley 007B",21,1,0,15,374
"Bromley 007C",64,1,1,12,129
"Bromley 007E",14,0,0,12,372
"Bromley 007F",13,0,0,5,365
"Bromley 008A",39,0,0,6,289
"Bromley 008B",82,8,7,23,61
"Bromley 008C",42,1,1,33,85
"Bromley 008D",10,0,0,10,370
"Bromley 008E",11,1,1,12,244
